Rank,Name,Age,Position,Country,club,Value
1,Kylian Mbappé,21,Left Winger,France,Paris Saint-Germain,£162.00m 
2,Raheem Sterling,25,Left Winger,England,Manchester City,£115.20m 
3,Neymar,28,Left Winger,Brazil,Paris Saint-Germain,£115.20m 
4,Sadio Mané,28,Left Winger,Senegal,Liverpool FC,£108.00m 
5,Mohamed Salah,28,Right Winger,Egypt,Liverpool FC,£108.00m 
6,Harry Kane,27,Centre-Forward,England,Tottenham Hotspur,£108.00m 
7,Kevin De Bruyne,29,Attacking Midfield,Belgium,Manchester City,£108.00m 
8,Jadon Sancho,20,Right Winger,England,Borussia Dortmund,£105.30m 
9,Trent Alexander-Arnold,22,Right-Back,England,Liverpool FC,£99.00m 
10,Lionel Messi,33,Right Winger,Argentina,FC Barcelona,£90.00m 
11,Serge Gnabry,25,Right Winger,Germany,Bayern Munich,£81.00m 
12,Jan Oblak,27,Goalkeeper,Slovenia,Atlético Madrid,£81.00m 
13,Joshua Kimmich,25,Defensive Midfield,Germany,Bayern Munich,£76.50m 
14,Romelu Lukaku,27,Centre-Forward,Belgium,Inter Milan,£76.50m 
15,Kai Havertz,21,Attacking Midfield,Germany,Chelsea FC,£72.90m 
16,Ansu Fati,18,Left Winger,Spain,FC Barcelona,£72.00m 
17,João Félix,20,Second Striker,Portugal,Atlético Madrid,£72.00m 
18,Alphonso Davies,20,Left-Back,Canada,Bayern Munich,£72.00m 
19,Erling Haaland,20,Centre-Forward,Norway,Borussia Dortmund,£72.00m 
20,Marcus Rashford,23,Left Winger,England,Manchester United,£72.00m 
21,Bernardo Silva,26,Right Winger,Portugal,Manchester City,£72.00m 
22,Bruno Fernandes,26,Attacking Midfield,Portugal,Manchester United,£72.00m 
23,Paulo Dybala,26,Second Striker,Argentina,Juventus FC,£72.00m 
24,Virgil van Dijk,29,Centre-Back,Netherlands,Liverpool FC,£72.00m 
25,Antoine Griezmann,29,Centre-Forward,France,FC Barcelona,£72.00m 
26,Paul Pogba,27,Central Midfield,France,Manchester United,£72.00m 
27,Alisson,28,Goalkeeper,Brazil,Liverpool FC,£72.00m 
28,Andrew Robertson,26,Left-Back,Scotland,Liverpool FC,£67.50m 
29,Thibaut Courtois,28,Goalkeeper,Belgium,Real Madrid,£67.50m 
30,Heung-min Son,28,Left Winger,"Korea, South",Tottenham Hotspur,£67.50m 
31,Marc-André ter Stegen,28,Goalkeeper,Germany,FC Barcelona,£67.50m 
32,Roberto Firmino,29,Centre-Forward,Brazil,Liverpool FC,£64.80m 
33,Lautaro Martínez,23,Centre-Forward,Argentina,Inter Milan,£63.00m 
34,Federico Valverde,22,Central Midfield,Uruguay,Real Madrid,£63.00m 
35,Frenkie de Jong,23,Central Midfield,Netherlands,FC Barcelona,£63.00m 
36,Matthijs de Ligt,21,Centre-Back,Netherlands,Juventus FC,£63.00m 
37,José Giménez,25,Centre-Back,Uruguay,Atlético Madrid,£63.00m 
38,N'Golo Kanté,29,Central Midfield,France,Chelsea FC,£63.00m 
39,Leroy Sané,24,Left Winger,Germany,Bayern Munich,£63.00m 
40,Marquinhos,26,Centre-Back,Brazil,Paris Saint-Germain,£63.00m 
41,Timo Werner,24,Centre-Forward,Germany,Chelsea FC,£63.00m 
42,Raphaël Varane,27,Centre-Back,France,Real Madrid,£63.00m 
43,Saúl Ñíguez,25,Central Midfield,Spain,Atlético Madrid,£63.00m 
44,Sergej Milinkovic-Savic,25,Central Midfield,Serbia,SS Lazio,£58.50m 
