Rank,Name,Age,Position,Country,club,Value
416,Rayan Cherki,16,Attacking Midfield,France,Olympique Lyon,£16.20m 
417,Antony,20,Right Winger,Brazil,Ajax Amsterdam,£16.20m 
418,Dwight McNeil,20,Left Winger,England,Burnley FC,£16.20m 
419,Thiago Almada,19,Attacking Midfield,Argentina,Club Atlético Vélez Sarsfield,£16.20m 
420,Emerson,21,Right-Back,Brazil,Real Betis Balompié,£16.20m 
421,Benoît Badiashile,19,Centre-Back,France,AS Monaco,£16.20m 
422,Douglas Luiz,22,Central Midfield,Brazil,Aston Villa,£16.20m 
423,Myron Boadu,19,Centre-Forward,Netherlands,AZ Alkmaar,£16.20m 
424,Calvin Stengs,21,Right Winger,Netherlands,AZ Alkmaar,£16.20m 
425,Exequiel Palacios,21,Central Midfield,Argentina,Bayer 04 Leverkusen,£16.20m 
426,Sergiño Dest,19,Right-Back,United States,Ajax Amsterdam,£16.20m 
427,Florentino,20,Defensive Midfield,Portugal,SL Benfica,£16.20m 
428,Diogo Dalot,21,Right-Back,Portugal,Manchester United,£16.20m 
429,Marc Cucurella,21,Left Midfield,Spain,Getafe CF,£16.20m 
430,Carles Aleñá,22,Central Midfield,Spain,Real Betis Balompié,£16.20m 
431,Matheus Henrique,22,Central Midfield,Brazil,Grêmio Foot-Ball Porto Alegrense,£15.75m 
432,Gabriel Magalhães,22,Centre-Back,Brazil,LOSC Lille,£15.75m 
433,Jean-Philippe Mateta,23,Centre-Forward,France,1.FSV Mainz 05,£15.75m 
434,Harvey Barnes,22,Left Midfield,England,Leicester City,£15.75m 
435,Ismaël Bennacer,22,Defensive Midfield,Algeria,AC Milan,£15.75m 
436,Sean Longstaff,22,Central Midfield,England,Newcastle United,£15.75m 
437,Mouctar Diakhaby,23,Centre-Back,France,Valencia CF,£15.75m 
438,Christian Kouamé,22,Centre-Forward,Cote d'Ivoire,ACF Fiorentina,£15.75m 
439,Nikola Vlasic,22,Attacking Midfield,Croatia,CSKA Moscow,£15.75m 
440,Eric Bailly,26,Centre-Back,Cote d'Ivoire,Manchester United,£15.75m 
441,Harry Wilson,23,Right Winger,Wales,AFC Bournemouth,£15.75m 
442,Neal Maupay,23,Centre-Forward,France,Brighton & Hove Albion,£15.75m 
443,Ben Davies,27,Left-Back,Wales,Tottenham Hotspur,£15.75m 
444,Fred,27,Central Midfield,Brazil,Manchester United,£15.75m 
445,Luke Shaw,24,Left-Back,England,Manchester United,£15.75m 
446,Mike Maignan,25,Goalkeeper,France,LOSC Lille,£15.75m 
447,Quincy Promes,28,Left Winger,Netherlands,Ajax Amsterdam,£15.75m 
448,Michy Batshuayi,26,Centre-Forward,Belgium,Chelsea FC,£15.75m 
449,Gabriel Paulista,29,Centre-Back,Brazil,Valencia CF,£15.75m 
450,Ryan Fraser,26,Left Winger,Scotland,Without Club,£15.75m 
451,Jesse Lingard,27,Right Winger,England,Manchester United,£15.75m 
452,Danny Ings,27,Centre-Forward,England,Southampton FC,£15.75m 
453,Suso,26,Right Winger,Spain,Sevilla FC,£15.75m 
454,Marc Bartra,29,Centre-Back,Spain,Real Betis Balompié,£15.75m 
455,Thomas Delaney,28,Central Midfield,Denmark,Borussia Dortmund,£15.75m 
456,Josip Ilicic,32,Second Striker,Slovenia,Atalanta BC,£15.75m 
457,Anthony Lopes,29,Goalkeeper,Portugal,Olympique Lyon,£15.75m 
458,Kevin Kampl,29,Central Midfield,Slovenia,RB Leipzig,£15.75m 
459,Ivan Perisic,31,Left Winger,Croatia,Bayern Munich,£15.75m 
460,Mesut Özil,31,Attacking Midfield,Germany,Arsenal FC,£15.75m 
461,Robin Koch,23,Centre-Back,Germany,SC Freiburg,£15.30m 
462,Xaver Schlager,22,Central Midfield,Austria,VfL Wolfsburg,£15.30m 
463,Maximilian Arnold,26,Central Midfield,Germany,VfL Wolfsburg,£15.30m 
464,Carlos Vinícius,25,Centre-Forward,Brazil,SL Benfica,£14.40m 
465,Colin Dagba,21,Right-Back,France,Paris Saint-Germain,£14.40m 
466,Luiz Felipe,23,Centre-Back,Brazil,SS Lazio,£14.40m 
467,Trincão,20,Right Winger,Portugal,SC Braga,£14.40m 
468,Raphinha,23,Right Winger,Brazil,Stade Rennais FC,£14.40m 
469,Pau Torres,23,Centre-Back,Spain,Villarreal CF,£14.40m 
470,Pablo Fornals,24,Attacking Midfield,Spain,West Ham United,£14.40m 
471,Dusan Vlahovic,20,Centre-Forward,Serbia,ACF Fiorentina,£14.40m 
472,Loren Morón,26,Centre-Forward,Spain,Real Betis Balompié,£14.40m 
473,Lucas Tousart,23,Defensive Midfield,France,Hertha BSC,£14.40m 
474,Malang Sarr,21,Centre-Back,France,Without Club,£14.40m 
475,Joe Willock,20,Central Midfield,England,Arsenal FC,£14.40m 
476,Unai Núñez,23,Centre-Back,Spain,Athletic Bilbao,£14.40m 
477,Marc Roca,23,Defensive Midfield,Spain,RCD Espanyol Barcelona,£14.40m 
478,Valentin Rongier,25,Central Midfield,France,Olympique Marseille,£14.40m 
479,Jarrod Bowen,23,Right Winger,England,West Ham United,£14.40m 
480,Tom Davies,22,Central Midfield,England,Everton FC,£14.40m 
481,Fikayo Tomori,22,Centre-Back,England,Chelsea FC,£14.40m 
482,Jonathan Bamba,24,Left Winger,France,LOSC Lille,£14.40m 
483,Kasper Dolberg,22,Centre-Forward,Denmark,OGC Nice,£14.40m 
484,Marcos Llorente,25,Right Midfield,Spain,Atlético Madrid,£14.40m 
485,Álvaro Odriozola,24,Right-Back,Spain,Bayern Munich,£14.40m 
486,Miguel Almirón,26,Attacking Midfield,Paraguay,Newcastle United,£14.40m 
487,Viktor Tsygankov,22,Right Winger,Ukraine,Dynamo Kyiv,£14.40m 
488,Unai Simón,23,Goalkeeper,Spain,Athletic Bilbao,£14.40m 
489,Timothy Castagne,24,Right-Back,Belgium,Atalanta BC,£14.40m 
490,Joachim Andersen,24,Centre-Back,Denmark,Olympique Lyon,£14.40m 
491,Talisca,26,Attacking Midfield,Brazil,Guangzhou Evergrande Taobao,£14.40m 
492,Renato Sanches,22,Central Midfield,Portugal,LOSC Lille,£14.40m 
493,Wilmar Barrios,26,Defensive Midfield,Colombia,Zenit St. Petersburg,£14.40m 
494,Zeki Celik,23,Right-Back,Turkey,LOSC Lille,£14.40m 
495,Lewis Cook,23,Central Midfield,England,AFC Bournemouth,£14.40m 
496,Keita Baldé,25,Left Winger,Senegal,AS Monaco,£14.40m 
497,Breel Embolo,23,Centre-Forward,Switzerland,Borussia Mönchengladbach,£14.40m 
498,Nadiem Amiri,23,Attacking Midfield,Germany,Bayer 04 Leverkusen,£14.40m 
499,Lucas Vázquez,29,Right Winger,Spain,Real Madrid,£14.40m 
500,Jeremie Boga,23,Left Winger,Cote d'Ivoire,US Sassuolo,£14.40m 
